[0.10 - 4.76] 這個數十加持幾乎在山上我們得過好多遍這個傳承
[5.38 - 10.78] 然後也就是在這裡跟大家一起學習
[10.84 - 16.62] 也跟我們所有的這種生眾通過這種講解的方式
[18.08 - 21.54] 一起來在這閉關期間
[22.04 - 23.68] 然後共同祈禱法衛保
[25.32 - 26.70] 念述祂的祈禱文
[26.80 - 31.34] 祈禱對大家一個增上作用
[32.66 - 33.80] 大概是這個目的
[33.84 - 35.14] 我們一起來學
[35.82 - 40.58] 那原文當中它是首先要奉送歸祭送
[40.76 - 41.82] 然後觀想
[42.92 - 45.26] 這個我們要有這個
[45.50 - 46.58] 觀想是什麼
[46.98 - 48.14] 嗯
[49.18 - 53.60] 這個下面是要具足一種聖節
[53.62 - 57.16] 是說上師是三寶三根本
[57.32 - 61.20] 即有一些諸佛菩薩的文體
[61.60 - 64.16] 然後我今天要歸上師
[64.20 - 66.92] 乃至永遠也不捨離
[67.10 - 70.80] 然後一次這種新念
[71.10 - 75.28] 來念誦三遍這個歸祭叫做
[75.28 - 77.88] 遍滿虛空盡邊祭
[78.02 - 80.80] 上師本宗空寢重
[81.04 - 83.18] 諸佛正法甚深淺
[83.40 - 85.40] 我也六道淨歸一
[85.58 - 86.86] 那麼這個呢
[87.64 - 89.18] 它的意思就是說
[89.32 - 91.00] 遍滿虛空盡邊祭
[91.02 - 93.36] 就是首先要觀想
[93.54 - 95.82] 歸祭謝死如
[96.36 - 97.90] 要有種聖節性
[98.08 - 99.56] 史書的這種歸祭
[99.72 - 101.50] 安住在虛空當中
[102.00 - 105.14] 不單單是安住在我們前方虛空
[105.34 - 111.32] 而是遍滿四方四域上下的整個虛空
[111.70 - 113.66] 大家這種聖節性
[114.18 - 116.30] 因為這個我們講吧
[116.42 - 118.94] 只要有眾生的地方
[119.14 - 121.92] 就會遍滿業根煩惱
[122.16 - 123.90] 那有業根煩惱的話
[123.92 - 127.82] 就有諸佛的這個大悲顯現出來
[127.96 - 129.48] 那麼實際上呢
[129.76 - 131.88] 如虛空般的遍滿了
[131.88 - 133.58] 種三寶的種籍
[134.66 - 135.96] 作為所有的歸淨
[136.10 - 137.74] 安住在虛空當中
[138.02 - 141.06] 要實際上作為我們祈禱的對勁
[141.28 - 142.78] 然後就是第一句話
[142.80 - 145.34] 遍滿虛空盡邊祭
[145.56 - 148.88] 這個邊祭就是遍佈了整個虛空的意思
[149.22 - 150.54] 然後這個大概的意思
[151.26 - 152.32] 下一句是說
[152.32 - 154.98] 上師本尊空行眾
[155.42 - 157.72] 這裡就是說強調
[157.90 - 160.54] 上師他是九寶至尊
[161.24 - 164.08] 那往這個說的話
[164.30 - 165.40] 往廣的說就是
[165.48 - 167.86] 過去現在未來
[167.86 - 169.94] 上師諸佛的種籍
[170.06 - 172.98] 按這個修行來講的話
[172.98 - 173.76] 他又是什麼
[173.80 - 175.24] 三寶的種籍
[175.44 - 177.28] 那此處主要強調的是什麼
[177.54 - 179.18] 三根本的種籍
[179.26 - 180.70] 也就是三根本就是
[180.86 - 183.30] 上師根本本尊根本
[183.44 - 185.32] 還有空行根本
[185.68 - 186.76] 所以說叫做什麼
[186.94 - 188.72] 上師空行
[189.82 - 192.14] 本尊空行眾他的意思
[192.78 - 194.94] 那麼這個就是三根本
[195.14 - 197.86] 然後上師是三根本的種籍
[198.12 - 201.64] 那下面就是強調的是三寶的種籍
[201.70 - 204.90] 就說到說諸佛正法
[204.92 - 205.86] 聖生前
[206.08 - 209.96] 那麼這裡強調的是三寶的種籍
[210.14 - 212.14] 然後在這種情況下
[212.18 - 214.68] 就是說在儒氏的上師
[214.78 - 218.90] 他乃三寶三根本的種籍面前
[219.38 - 221.34] 然後下面第四句
[221.54 - 224.18] 要帶著這種誠信在第四句中說
[224.32 - 226.74] 我以六道盡歸一
[227.68 - 229.74] 就是說我和六道的眾生
[229.86 - 233.86] 一起以誠摯的信心來進行歸一
[234.06 - 236.16] 那麼這個就是我們講說
[238.26 - 239.38] 這個將應以什麼
[239.54 - 241.68] 大成了這種歸一的方式
[241.76 - 244.38] 然後發起這種誓願
[244.66 - 247.26] 那麼這裡強調此書的歸一
[247.40 - 250.08] 就是指的是我們講的承諾
[250.26 - 252.98] 然後帶著有歸一的決心
[253.18 - 257.04] 然後再往下聞當中做一個製成的祈禱
[257.32 - 260.14] 那麼後面的製成祈禱是
[260.18 - 261.66] 託付就是說
[262.18 - 264.72] 我的心意為您知巧
[265.04 - 267.50] 並且祈求所欲
[267.60 - 270.72] 這個目的這種方式就是祈禱
[270.78 - 272.24] 說白了就是祈禱
[273.68 - 275.22] 那麼帶著這個歸一
[275.24 - 278.30] 然後再前程往下聞做祈禱
[278.54 - 282.62] 我們的獲得的加持會增加百倍
[283.02 - 289.00] 所以要在此有正確清晰的認識到
[289.24 - 292.82] 三寶總集的本體就是根本上師
[293.36 - 299.52] 然後再以一心一意必恭必敬的方式歸一三寶
[299.80 - 303.58] 然後奉行明白它是三寶三根本
[303.80 - 306.06] 三世諸佛的總集以後
[307.64 - 310.61] 上師至佛的這種聖潔性當中
[310.61 - 312.76] 奉行上師的言教
[313.00 - 317.42] 以上師心意相合的所有的這種金剛道友
[317.60 - 319.18] 然後後面還有三寶
[319.46 - 322.38] 以及隨其金剛道友要和睦相處
[323.06 - 324.44] 然後帶著並且什麼
[324.64 - 327.50] 以六道眾生的方式觀想
[327.60 - 329.52] 比如說自止在頂禮的時候
[329.96 - 333.06] 實際上身體遍佈著虛空
[333.18 - 335.40] 然後和一切的六道友情
[335.44 - 337.98] 共同向歸一敬當中做一種禮禮
[338.12 - 340.56] 此處的話先要這種自成的心
[341.02 - 344.86] 那麼再做一個自成的歸一
[344.90 - 348.66] 那麼這裡簡單來講就是歸一寂
[349.26 - 352.06] 那下面接著開始念了發心寂
[352.28 - 357.28] 那就觀想為了利益天邊無忌的一些友情
[357.84 - 363.90] 然後我要修持上師的果味而發無上的菩提心
[364.36 - 370.78] 那帶著這種心念這種意樂去念修三遍的歸一寂
[371.16 - 375.68] 那這個歸一寂就是我們講的聖意的歸一
[375.80 - 378.64] 也就是我們講的果歸一
[378.96 - 381.94] 當然從文書大案的角度來講解的話
[382.66 - 385.40] 顯中也有因歸一跟果歸一
[385.48 - 390.12] 因歸一就是視求修上師為這個
[390.96 - 395.20] 修行的方式跟他一起發起這種自成心
[396.14 - 397.38] 然後這個是因歸一
[397.46 - 400.00] 然後想獲得像他一樣的果味
[400.04 - 401.10] 這是果歸一
[401.96 - 404.74] 那麼密宗當中究竟了意的果歸一
[404.80 - 406.01] 就是這裡講的
[406.01 - 408.64] 就是要認識自身本心
